rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
159,frame_0305.jpg,122.0,0.4593,0.5495,0.4286,0.28,7,3,False,False
160,frame_0120.jpg,48.0,0.4588,0.5381,0.2857,0.52,5,2,False,False
161,frame_0083.jpg,33.2,0.4536,0.4797,0.2857,0.64,4,2,False,False
162,frame_0090.jpg,36.0,0.4511,0.5011,0.4286,0.36,7,3,False,False
163,frame_0130.jpg,52.0,0.4509,0.448,0.1429,0.92,5,1,False,False
164,frame_0232.jpg,92.8,0.4508,0.6502,0.2857,0.2,7,2,False,False
165,frame_0181.jpg,72.4,0.4506,0.5424,0.5714,0.04,8,4,False,False
166,frame_0206.jpg,82.4,0.448,0.3348,0.4286,0.76,4,3,False,False
167,frame_0233.jpg,93.2,0.4442,0.5352,0.4286,0.24,7,3,False,False
168,frame_0289.jpg,115.6,0.4434,0.4971,0.1429,0.76,6,1,False,False
169,frame_0112.jpg,44.8,0.4418,0.5465,0.4286,0.2,5,3,False,False
170,frame_0193.jpg,77.2,0.4414,0.5296,0.4286,0.24,7,3,False,False
171,frame_0320.jpg,128.0,0.4409,0.5286,0.4286,0.24,9,3,False,False
172,frame_0390.jpg,156.0,0.4407,0.5922,0.4286,0.08,9,3,False,False
173,frame_0180.jpg,72.0,0.4396,0.5044,0.5714,0.08,7,4,False,False
174,frame_0394.jpg,157.6,0.4389,0.503,0.5714,0.08,5,4,False,False
175,frame_0372.jpg,148.8,0.4358,0.5664,0.4286,0.12,10,3,False,False
176,frame_0373.jpg,149.2,0.4356,0.55,0.4286,0.16,7,3,False,False
177,frame_0325.jpg,130.0,0.4352,0.4258,0.7143,0.04,8,5,False,False
178,frame_0283.jpg,113.2,0.4326,0.4,0.4286,0.52,5,3,False,False
179,frame_0106.jpg,42.4,0.4278,0.5824,0.4286,0.04,8,3,False,False
180,frame_0314.jpg,125.6,0.4274,0.5657,0.4286,0.08,6,3,False,False
181,frame_0027.jpg,10.8,0.4272,0.3687,0.1429,1.0,4,1,False,False
182,frame_0269.jpg,107.6,0.4259,0.5786,0.4286,0.04,7,3,False,False
183,frame_0019.jpg,7.6,0.4252,0.4504,0.0,1.0,2,0,False,False
184,frame_0115.jpg,46.0,0.4249,0.5504,0.2857,0.32,7,2,False,False
185,frame_0287.jpg,114.8,0.4231,0.4885,0.1429,0.68,8,1,False,False
186,frame_0088.jpg,35.2,0.4207,0.494,0.2857,0.44,5,2,False,False
187,frame_0185.jpg,74.0,0.4146,0.5401,0.4286,0.08,9,3,False,False
188,frame_0023.jpg,9.2,0.4145,0.3433,0.1429,1.0,4,1,False,False
189,frame_0313.jpg,125.2,0.4144,0.727,0.1429,0.04,2,1,False,False
190,frame_0281.jpg,112.4,0.4112,0.5606,0.1429,0.44,7,1,False,False
191,frame_0204.jpg,81.6,0.406,0.3685,0.2857,0.68,2,2,False,False
192,frame_0013.jpg,5.2,0.4049,0.324,0.1429,1.0,5,1,False,False
193,frame_0272.jpg,108.8,0.4044,0.6053,0.2857,0.08,4,2,False,False
194,frame_0398.jpg,159.2,0.4044,0.627,0.1429,0.24,8,1,False,False
195,frame_0214.jpg,85.6,0.404,0.4286,0.2857,0.52,3,2,False,False
196,frame_0218.jpg,87.2,0.4011,0.4867,0.2857,0.36,4,2,False,False
197,frame_0282.jpg,112.8,0.3991,0.6062,0.0,0.48,7,0,False,False
198,frame_0391.jpg,156.4,0.3986,0.524,0.4286,0.04,10,3,False,False
199,frame_0109.jpg,43.6,0.3976,0.5061,0.4286,0.08,7,3,False,False
200,frame_0133.jpg,53.2,0.3972,0.3086,0.1429,1.0,8,1,False,False
201,frame_0179.jpg,71.6,0.3955,0.5716,0.2857,0.12,7,2,False,False
202,frame_0268.jpg,107.2,0.3945,0.4998,0.4286,0.08,5,3,False,False
203,frame_0084.jpg,33.6,0.3934,0.4611,0.1429,0.6,4,1,False,False
204,frame_0196.jpg,78.4,0.3924,0.4694,0.2857,0.36,3,2,False,False
205,frame_0022.jpg,8.8,0.3913,0.2112,0.2857,1.0,5,2,False,False
206,frame_0103.jpg,41.2,0.3908,0.4604,0.4286,0.16,7,3,False,False
207,frame_0221.jpg,88.4,0.386,0.5045,0.2857,0.24,7,2,False,False
208,frame_0216.jpg,86.4,0.3834,0.5051,0.1429,0.44,4,1,False,False
209,frame_0121.jpg,48.4,0.377,0.3586,0.2857,0.56,5,2,False,False
210,frame_0205.jpg,82.0,0.377,0.3803,0.1429,0.72,3,1,False,False
211,frame_0118.jpg,47.2,0.3762,0.4049,0.2857,0.44,6,2,False,False
212,frame_0311.jpg,124.4,0.3755,0.5635,0.2857,0.04,4,2,False,False
213,frame_0087.jpg,34.8,0.3753,0.5586,0.0,0.48,4,0,False,False
214,frame_0096.jpg,38.4,0.3752,0.531,0.2857,0.12,7,2,False,False
215,frame_0211.jpg,84.4,0.3744,0.3213,0.2857,0.64,4,2,False,False
216,frame_0302.jpg,120.8,0.3712,0.4966,0.1429,0.4,9,1,False,False
217,frame_0371.jpg,148.4,0.3706,0.452,0.4286,0.08,8,3,False,False
218,frame_0104.jpg,41.6,0.3702,0.6067,0.1429,0.12,6,1,False,False
219,frame_0228.jpg,91.2,0.3699,0.4667,0.4286,0.04,9,3,False,False
220,frame_0024.jpg,9.6,0.3691,0.3382,0.0,1.0,3,0,False,False
221,frame_0123.jpg,49.2,0.3686,0.3954,0.1429,0.64,7,1,False,False
222,frame_0217.jpg,86.8,0.3662,0.4866,0.1429,0.4,4,1,False,False
223,frame_0178.jpg,71.2,0.3593,0.4832,0.2857,0.16,6,2,False,False
224,frame_0220.jpg,88.0,0.3567,0.5157,0.1429,0.28,4,1,False,False
225,frame_0119.jpg,47.6,0.3524,0.3413,0.2857,0.48,7,2,False,False
226,frame_0025.jpg,10.0,0.3499,0.2998,0.0,1.0,3,0,False,False
227,frame_0085.jpg,34.0,0.3463,0.3829,0.1429,0.56,7,1,False,False
228,frame_0399.jpg,159.6,0.3457,0.4079,0.2857,0.28,7,2,False,False
229,frame_0273.jpg,109.2,0.3448,0.4701,0.2857,0.12,5,2,False,False
230,frame_0323.jpg,129.2,0.3423,0.4652,0.2857,0.12,6,2,False,False
231,frame_0219.jpg,87.6,0.3387,0.4637,0.1429,0.32,4,1,False,False
232,frame_0223.jpg,89.2,0.3363,0.4371,0.2857,0.16,9,2,False,False
233,frame_0324.jpg,129.6,0.3359,0.4684,0.2857,0.08,7,2,False,False
234,frame_0222.jpg,88.8,0.3333,0.4151,0.2857,0.2,7,2,False,False
235,frame_0100.jpg,40.0,0.3289,0.4704,0.2857,0.04,6,2,False,False
236,frame_0111.jpg,44.4,0.3274,0.505,0.1429,0.16,5,1,False,False
237,frame_0383.jpg,153.2,0.3238,0.4281,0.2857,0.12,5,2,False,False
238,frame_0393.jpg,157.2,0.3147,0.442,0.2857,0.04,5,2,False,False
239,frame_0213.jpg,85.2,0.3125,0.3153,0.1429,0.56,4,1,False,False
240,frame_0199.jpg,79.6,0.3106,0.3435,0.1429,0.48,2,1,False,False
241,frame_0092.jpg,36.8,0.3035,0.4093,0.1429,0.28,5,1,False,False
242,frame_0215.jpg,86.0,0.2999,0.322,0.1429,0.48,6,1,False,False
243,frame_0108.jpg,43.2,0.2926,0.4834,0.1429,0.04,9,1,False,False
244,frame_0212.jpg,84.8,0.2871,0.2485,0.1429,0.6,3,1,False,False
245,frame_0093.jpg,37.2,0.2787,0.2899,0.2857,0.24,6,2,False,False
246,frame_0102.jpg,40.8,0.2753,0.3311,0.2857,0.12,7,2,False,False
247,frame_0310.jpg,124.0,0.2747,0.346,0.2857,0.08,7,2,False,False
248,frame_0190.jpg,76.0,0.2721,0.3248,0.2857,0.12,5,2,False,False
249,frame_0224.jpg,89.6,0.2706,0.4931,0.0,0.12,4,0,False,False
250,frame_0267.jpg,106.8,0.2486,0.3634,0.1429,0.12,6,1,False,False
251,frame_0117.jpg,46.8,0.2388,0.3175,0.0,0.4,7,0,False,False
252,frame_0101.jpg,40.4,0.232,0.3462,0.1429,0.08,7,1,False,False
253,frame_0271.jpg,108.4,0.2119,0.4078,0.0,0.04,4,0,False,False
254,frame_0110.jpg,44.0,0.2095,0.2853,0.1429,0.12,3,1,False,False
255,frame_0189.jpg,75.6,0.2094,0.3868,0.0,0.08,6,0,False,False
256,frame_0197.jpg,78.8,0.1942,0.2284,0.0,0.4,1,0,False,False
